ubx205:0 lbx205:0
ubx206:0 lbx206:0
ubx207:70 lbx207:45.75
ubx208:70 lbx208:45.75
ubx209:70 lbx209:45.75
ubx210:70 lbx210:45.75
ubx211:inf lbx211:0
ubx212:16000 lbx212:1600
ubx213:20000 lbx213:2000
ubx214:0 lbx214:0
ubx215:0 lbx215:0
ubx216:70 lbx216:45.7143
ubx217:70 lbx217:45.7143
ubx218:70 lbx218:45.7143
ubx219:70 lbx219:45.7143
ubx220:inf lbx220:0
ubx221:16000 lbx221:1600
ubx222:20000 lbx222:2000
ubx223:0 lbx223:0
ubx224:0 lbx224:0
ubx225:70 lbx225:45.744
ubx226:70 lbx226:45.744
ubx227:70 lbx227:45.744
ubx228:70 lbx228:45.744
ubx229:inf lbx229:0
ubx230:16000 lbx230:1600
ubx231:20000 lbx231:2000
ubx232:0 lbx232:0
ubx233:0 lbx233:0
ubx234:70 lbx234:45.7738
ubx235:70 lbx235:45.7738
ubx236:70 lbx236:45.7738
ubx237:70 lbx237:45.7738
ubx238:inf lbx238:0
ubx239:16000 lbx239:1600
ubx240:20000 lbx240:2000
ubx241:0 lbx241:0
ubx242:0 lbx242:0
ubx243:70 lbx243:45.8036
ubx244:70 lbx244:45.8036
ubx245:70 lbx245:45.8036
ubx246:70 lbx246:45.8036
ubx247:inf lbx247:0
ubx248:16000 lbx248:1600
ubx249:20000 lbx249:2000
ubx250:0 lbx250:0
ubx251:0 lbx251:0
ubx252:70 lbx252:45.8333
ubx253:70 lbx253:45.8333
ubx254:70 lbx254:45.8333
ubx255:70 lbx255:45.8333
ubx256:inf lbx256:0
ubx257:16000 lbx257:1600
ubx258:20000 lbx258:2000
ubx259:0 lbx259:0
ubx260:0 lbx260:0
ubx261:70 lbx261:45.8512
ubx262:70 lbx262:45.8512
ubx263:70 lbx263:45.8512
ubx264:70 lbx264:45.8512
ubx265:inf lbx265:0
ubx266:16000 lbx266:1600
ubx267:20000 lbx267:2000
ubx268:0 lbx268:0
ubx269:0 lbx269:0
ubx270:70 lbx270:45.869
ubx271:70 lbx271:45.869
ubx272:70 lbx272:45.869
ubx273:70 lbx273:45.869
ubx274:inf lbx274:0
ubx275:16000 lbx275:1600
ubx276:20000 lbx276:2000
ubx277:0 lbx277:0
ubx278:0 lbx278:0
ubx279:70 lbx279:45.8869
ubx280:70 lbx280:45.8869
ubx281:70 lbx281:45.8869
ubx282:70 lbx282:45.8869
ubx283:inf lbx283:0
ubx284:16000 lbx284:1600
ubx285:20000 lbx285:2000
ubx286:0 lbx286:0
ubx287:0 lbx287:0
ubx288:70 lbx288:45.9048
ubx289:70 lbx289:45.9048
ubx290:70 lbx290:45.9048
ubx291:70 lbx291:45.9048
ubx292:inf lbx292:0
ubx293:16000 lbx293:1600
ubx294:20000 lbx294:2000
ubx295:0 lbx295:0
ubx296:0 lbx296:0
ubx297:70 lbx297:45.9286
ubx298:70 lbx298:45.9286
ubx299:70 lbx299:45.9286
ubx300:70 lbx300:45.9286
ubx301:inf lbx301:0
ubx302:16000 lbx302:1600
ubx303:20000 lbx303:2000
ubx304:0 lbx304:0
ubx305:0 lbx305:0
ubx306:70 lbx306:45.9524
ubx307:70 lbx307:45.9524
ubx308:70 lbx308:45.9524
ubx309:70 lbx309:45.9524
ubx310:inf lbx310:0
ubx311:16000 lbx311:1600
ubx312:20000 lbx312:2000
ubx313:0 lbx313:0
ubx314:0 lbx314:0
ubx315:70 lbx315:45.9762
ubx316:70 lbx316:45.9762
ubx317:70 lbx317:45.9762
ubx318:70 lbx318:45.9762
ubx319:inf lbx319:0
ubx320:16000 lbx320:1600
ubx321:20000 lbx321:2000
ubx322:0 lbx322:0
ubx323:0 lbx323:0
ubx324:70 lbx324:46
ubx325:70 lbx325:46
ubx326:70 lbx326:46
ubx327:70 lbx327:46
ubx328:inf lbx328:0
ubx329:16000 lbx329:1600
ubx330:20000 lbx330:2000
ubx331:0 lbx331:0
ubx332:0 lbx332:0
ubx333:70 lbx333:45.9762
ubx334:70 lbx334:45.9762
ubx335:70 lbx335:45.9762
ubx336:70 lbx336:45.9762
ubx337:inf lbx337:0
ubx338:16000 lbx338:1600
ubx339:20000 lbx339:2000
ubx340:0 lbx340:0
ubx341:0 lbx341:0
ubx342:70 lbx342:45.9524
ubx343:70 lbx343:45.9524
ubx344:70 lbx344:45.9524
ubx345:70 lbx345:45.9524
ubx346:inf lbx346:0
ubx347:16000 lbx347:1600
ubx348:20000 lbx348:2000
ubx349:0 lbx349:0
ubx350:0 lbx350:0
ubx351:70 lbx351:45.9286
ubx352:70 lbx352:45.9286
ubx353:70 lbx353:45.9286
ubx354:70 lbx354:45.9286
ubx355:inf lbx355:0
ubx356:16000 lbx356:1600
ubx357:20000 lbx357:2000
ubx358:0 lbx358:0
ubx359:0 lbx359:0
ubx360:70 lbx360:45.9048
ubx361:70 lbx361:45.9048
ubx362:70 lbx362:45.9048
ubx363:70 lbx363:45.9048
ubx364:inf lbx364:0
ubx365:16000 lbx365:1600
ubx366:20000 lbx366:2000
ubx367:0 lbx367:0
ubx368:0 lbx368:0
ubx369:70 lbx369:45.8214
