Datum (GMT+1);Import Saldo;Kernenergie;Nicht Erneuerbar;Erneuerbar;Strompreis
09.01.2022 00:30;;4.104.087;23.324.977;40.548.544;84.4
09.01.2022 00:45;;4.104.497;23.144.488;39.558.611;84.4
09.01.2022 01:00;;4.103.527;22.701.664;38.587.804;80.24
09.01.2022 01:15;;4.103.417;22.274.624;38.423.646;80.24
09.01.2022 01:30;;4.103.097;22.146.629;38.712.024;80.24
09.01.2022 01:45;;4.101.957;21.995.992;38.696.878;80.24
09.01.2022 02:00;;4.103.897;21.511.658;38064.14;55.46
09.01.2022 02:15;;4.055.643;21.344.602;37.611.344;55.46
09.01.2022 02:30;;3905.54;21.283.398;37.281.182;55.46
09.01.2022 02:45;;3.754.306;21.380.767;36898.04;55.46
09.01.2022 03:00;;3.604.113;21.442.135;36.648.072;49.29
09.01.2022 03:15;;3.452.409;21.462.764;36.618.723;49.29
09.01.2022 03:30;;3.300.185;21.351.938;36.277.989;49.29
09.01.2022 03:45;;3.149.192;21.257.241;35.841.876;49.29
09.01.2022 04:00;;2.999.058;21.095.404;35.454.206;50.64
09.01.2022 04:15;;2904.46;21.096.096;35.294.916;50.64
09.01.2022 04:30;;2.674.019;21.228.501;35.321.017;50.64
09.01.2022 04:45;;2.674.959;21.480.982;35.447.897;50.64
09.01.2022 05:00;;2.670.499;21.879.326;36.136.773;74.29
09.01.2022 05:15;;2.672.719;22.280.734;36.515.773;74.29
09.01.2022 05:30;;2.672.289;22.841.403;36.827.546;74.29
09.01.2022 05:45;;2.671.789;23.226.236;36.777.958;74.29
09.01.2022 06:00;;2.666.129;23.601.698;36.831.123;84.44
09.01.2022 06:15;;2.667.549;24.177.963;36.846.324;84.44
09.01.2022 06:30;;2.668.459;24.671.029;36.704.925;84.44
09.01.2022 06:45;;2.667.649;25.645.917;36.423.777;84.44
09.01.2022 07:00;;2.663.588;26.590.528;36.310.558;97.26
09.01.2022 07:15;;2.666.639;27.193.093;36.327.698;97.26
09.01.2022 07:30;;2.666.869;27.906.109;36.585.892;97.26
09.01.2022 07:45;;2.666.279;28.964.291;36.555.218;97.26
09.01.2022 08:00;;2.661.018;30.396.883;36.259.446;119.97
09.01.2022 08:15;;2.668.379;31.195.469;36.164.464;119.97
09.01.2022 08:30;;2.666.499;31.556.352;36.401.913;119.97
09.01.2022 08:45;;2.667.209;31.819.912;36.580.771;119.97
09.01.2022 09:00;;2.666.019;32.271.633;36.254.814;134.96
09.01.2022 09:15;;2.667.469;32.490.749;36327.46;134.96
09.01.2022 09:30;;2.668.899;32.636.842;36.528.392;134.96
09.01.2022 09:45;;2.667.019;32.766.732;36.819.203;134.96
09.01.2022 10:00;;2.668.169;33.261.615;37.055.497;149.4
09.01.2022 10:15;;2.670.369;33.295.261;37.116.178;149.4
09.01.2022 10:30;;2.671.069;33.372.291;36.988.659;149.4
09.01.2022 10:45;;2.673.089;33.374.002;36598.72;149.4
09.01.2022 11:00;;2.673.039;33.426.586;36.113.624;165.13
09.01.2022 11:15;;2.671.779;33.475.145;35.536.344;165.13
09.01.2022 11:30;;2.672.479;33.519.884;35.425.303;165.13
09.01.2022 11:45;;2.670.349;33.463.017;35.128.555;165.13
09.01.2022 12:00;;2.669.819;33.758.815;34.798.932;165.06
09.01.2022 12:15;;2.671.309;33.835.427;34.003.865;165.06
09.01.2022 12:30;;2.671.039;33.713.362;33.178.778;165.06
09.01.2022 12:45;;2.671.469;33823.34;32.232.768;165.06
09.01.2022 13:00;;2.673.329;33.987.902;31.660.511;170.09
09.01.2022 13:15;;2.673.469;34.429.108;30.892.843;170.09
09.01.2022 13:30;;2.671.149;34.877.226;29.998.392;170.09
09.01.2022 13:45;;2.672.119;35.100.968;28.925.473;170.09
09.01.2022 14:00;;2.671.039;35.354.141;28.203.352;189.04
09.01.2022 14:15;;2.670.139;36.380.348;27.332.965;189.04
09.01.2022 14:30;;2.670.449;37.291.192;26.747.911;189.04
09.01.2022 14:45;;2.670.269;38.006.852;26.388.481;189.04
09.01.2022 15:00;;2.668.179;38.524.633;25.806.045;190.96
09.01.2022 15:15;;2.670.019;38.626.842;25.395.393;190.96
09.01.2022 15:30;;2.671.329;39.164.866;24.802.677;190.96
09.01.2022 15:45;;2.672.799;39.465.763;24.463.109;190.96
09.01.2022 16:00;;2.674.679;39.856.509;24.105.621;223.3
09.01.2022 16:15;;2.674.939;40.354.778;23.824.385;223.3
09.01.2022 16:30;;2.675.659;40.605.793;23.693.516;223.3
09.01.2022 16:45;;2676.88;40.787.041;23.337.669;223.3
09.01.2022 17:00;;2677.74;41.097.414;22872.72;243.94
09.01.2022 17:15;;2677.41;41.359.696;22590.56;243.94
09.01.2022 17:30;;2675.98;41.514.529;22.298.955;243.94
09.01.2022 17:45;;2676.26;41.771.941;22.100.036;243.94
09.01.2022 18:00;;2.674.599;41.952.758;21.706.576;240
09.01.2022 18:15;;2.674.369;42.045.121;21.573.197;240
09.01.2022 18:30;;2.674.949;42.212.709;21.427.772;240
09.01.2022 18:45;;2.674.489;42.269.569;21.217.785;240
09.01.2022 19:00;;2.675.189;42.334.601;20.924.892;230.82
09.01.2022 19:15;;2.674.249;42.362.763;20677.36;230.82
09.01.2022 19:30;;2.672.189;42.310.012;20.481.334;230.82
09.01.2022 19:45;;2.672.099;42.217.438;20.200.143;230.82
09.01.2022 20:00;;2.672.279;42.597.239;19.950.192;214.02
09.01.2022 20:15;;2.673.399;42.556.552;19.628.053;214.02
09.01.2022 20:30;;2.672.329;42.456.581;19.187.134;214.02
09.01.2022 20:45;;2.672.299;42.568.604;18.582.063;214.02
09.01.2022 21:00;;2.673.469;42607.27;18.240.855;215.88
09.01.2022 21:15;;2.675.179;42.538.589;17.981.852;215.88
09.01.2022 21:30;;2.675.339;42.275.688;17.845.774;215.88
09.01.2022 21:45;;2.675.269;41.973.378;17.559.584;215.88
09.01.2022 22:00;;2.675.159;41.848.717;17.241.196;203.8
09.01.2022 22:15;;2.674.229;41.769.916;16.912.705;203.8
09.01.2022 22:30;;2.672.859;42.081.004;16.541.362;203.8
09.01.2022 22:45;;2.670.159;42.291.402;16.193.617;203.8
09.01.2022 23:00;;2.669.859;42.188.049;15.603.152;196.23
09.01.2022 23:15;;2.674.089;42386.15;15.282.244;196.23
09.01.2022 23:30;;2.675.269;42.621.464;15.062.529;196.23
09.01.2022 23:45;;2.674.739;42.678.327;14.642.948;196.23
