time;aussen
00:07:05;10.4
00:07:06;10.4
00:07:10;10.4
00:07:13;10.4
00:17:03;10.2
00:17:04;10.2
00:17:07;10.2
00:17:08;10.2
00:27:04;10.2
00:27:05;10.2
00:27:10;10.2
00:27:12;10.2
00:37:03;10.3
00:37:04;10.3
00:37:05;10.3
00:37:12;10.3
00:47:04;10.3
00:47:05;10.3
00:47:06;10.3
00:47:12;10.3
00:57:08;10.3
00:57:12;10.3
01:07:04;10.3
01:07:05;10.3
01:07:06;10.3
01:07:08;10.3
01:07:10;10.3
01:07:12;10.3
01:17:03;10.4
01:17:04;10.4
01:17:05;10.4
01:17:08;10.4
01:17:10;10.4
01:27:03;10.3
01:27:06;10.3
01:27:08;10.3
01:37:04;10.3
01:37:05;10.3
01:37:10;10.3
01:47:03;10.2
01:47:04;10.2
01:47:05;10.2
01:57:03;10.3
01:57:06;10.3
01:57:08;10.3
02:07:03;10.5
02:07:08;10.5
02:17:03;10.8
02:17:04;10.8
02:17:05;10.8
02:17:10;10.8
02:17:12;10.8
02:27:03;10.9
02:27:05;10.9
02:27:07;10.9
02:27:08;10.9
02:27:10;10.9
02:27:12;10.9
02:37:04;10.9
02:37:06;10.9
02:37:07;10.9
02:37:08;10.9
02:37:12;10.9
02:47:03;11.0
02:47:04;11.0
02:47:05;11.0
02:47:10;11.0
02:57:05;11.0
02:57:10;11.0
03:07:03;11.1
03:07:10;11.1
03:17:03;11.0
03:17:08;11.0
03:17:10;11.0
03:27:05;11.0
03:27:07;11.0
03:27:08;11.0
03:27:10;11.0
03:27:12;11.0
03:37:04;11.0
03:37:08;11.0
03:47:03;10.9
03:47:04;10.9
03:47:05;10.9
03:47:10;10.9
03:57:07;10.9
03:57:08;10.9
03:57:10;10.9
04:07:04;10.9
04:07:05;10.9
04:07:08;10.9
04:07:10;10.9
04:17:04;10.9
04:17:05;10.9
04:17:08;10.9
04:27:03;10.8
04:27:04;10.8
04:27:07;10.8
04:27:08;10.8
04:27:10;10.8
04:37:04;10.8
04:37:05;10.8
04:47:06;10.8
04:47:08;10.8
04:57:04;10.8
04:57:05;10.8
04:57:08;10.8
04:57:10;10.8
04:57:12;10.8
05:07:07;10.8
05:07:10;10.8
05:17:04;10.8
05:17:05;10.8
05:17:08;10.8
05:17:10;10.8
05:27:03;10.7
05:27:04;10.7
05:27:05;10.7
05:27:08;10.7
05:27:10;10.7
05:37:03;10.8
05:37:04;10.8
05:37:05;10.8
05:37:06;10.8
05:37:08;10.8
05:37:10;10.8
05:47:03;10.6
05:47:05;10.6
05:47:08;10.6
05:47:10;10.6
05:57:08;10.6
05:57:10;10.6
05:57:12;10.6
06:07:04;10.6
06:07:05;10.6
06:07:08;10.6
06:17:04;10.6
06:17:05;10.6
06:17:08;10.6
06:27:05;10.6
06:27:08;10.6
06:37:08;10.6
06:57:03;10.7
06:57:04;10.7
06:57:05;10.7
06:57:06;10.7
06:57:10;10.7
07:07:04;10.7
07:07:05;10.7
07:07:06;10.7
07:07:08;10.7
07:07:10;10.7
07:17:03;10.8
07:17:04;10.8
07:17:08;10.8
07:27:08;10.8
07:27:12;10.8
07:37:03;10.8
07:37:05;10.8
07:37:07;10.8
07:37:09;10.8
07:37:11;10.8
07:47:03;10.8
07:47:04;10.8
07:47:05;10.8
07:47:07;10.8
07:47:09;10.8
07:47:11;10.8
07:57:03;10.8
07:57:04;10.8
07:57:05;10.8
07:57:07;10.8
08:07:03;10.8
08:07:04;10.8
08:07:07;10.8
08:17:03;10.8
08:17:04;10.8
08:17:07;10.8
08:17:09;10.8
08:27:03;10.8
08:27:05;10.8
08:27:06;10.8
08:27:07;10.8
08:37:03;10.8
08:37:04;10.8
08:37:05;10.8
08:37:11;10.8
08:47:02;10.9
08:47:04;10.9
08:47:05;10.9
08:47:07;10.9
08:57:02;11.0
