time;pac;freq;
08:45:28;0;49,96;
08:45:30;0;49,96;
08:45:33;49;49,99;
08:45:36;48;49,98;
08:45:42;47;49,98;
08:45:45;45;49,98;
08:45:48;49;49,98;
08:45:51;50;49,98;
08:45:54;51;49,98;
08:45:57;53;49,99;
08:46:00;51;49,99;
08:46:03;54;49,98;
08:46:06;53;49,98;
08:46:09;52;49,98;
08:46:12;55;49,99;
08:46:15;56;49,99;
08:46:18;53;49,99;
08:46:21;52;49,98;
08:46:24;54;49,98;
08:46:27;57;49,98;
08:46:30;55;49,98;
08:46:33;56;49,98;
08:46:36;58;49,98;
08:46:39;55;49,98;
08:46:42;58;49,98;
08:46:51;60;49,98;
08:47:03;63;49,97;
08:47:09;61;49,97;
08:47:12;64;49,97;
08:47:15;67;49,97;
08:47:18;66;49,97;
08:47:21;63;49,97;
08:47:24;65;49,97;
08:47:27;66;49,97;
08:47:30;66;49,98;
08:47:33;65;49,98;
08:47:36;67;49,98;
08:47:39;70;49,99;
08:47:42;67;49,98;
08:47:51;70;49,98;
08:47:54;68;49,97;
08:47:57;70;49,97;
08:48:00;71;49,98;
08:48:06;72;49,98;
08:48:09;73;49,99;
08:48:18;73;49,98;
08:48:21;76;49,98;
08:48:24;73;49,98;
08:48:27;73;49,97;
08:48:30;76;49,96;
08:48:33;77;49,96;
08:48:39;76;49,96;
08:48:42;75;49,96;
08:48:45;79;49,96;
08:48:48;76;49,96;
08:48:51;76;49,97;
08:48:54;77;49,96;
08:48:57;76;49,96;
08:49:00;77;49,96;
08:49:03;79;49,96;
08:49:06;74;49,96;
08:49:09;78;49,97;
08:49:12;77;49,97;
08:49:15;80;49,96;
08:49:21;79;49,96;
08:49:24;80;49,95;
08:49:27;80;49,94;
08:49:30;79;49,95;
08:49:33;80;49,95;
08:49:36;82;49,95;
08:49:39;77;49,95;
08:49:45;81;49,96;
08:49:54;82;49,97;
08:49:57;80;49,97;
08:50:00;80;49,96;
08:50:03;82;49,97;
08:50:09;83;49,96;
08:50:12;82;49,96;
08:50:15;83;49,96;
08:50:21;82;49,96;
08:50:24;85;49,96;
08:50:27;82;49,96;
08:50:30;79;49,96;
08:50:33;82;49,96;
08:50:39;80;49,96;
08:50:42;82;49,96;
08:50:51;80;49,97;
08:50:54;82;49,97;
08:50:57;83;49,96;
08:51:00;82;49,96;
08:51:06;79;49,96;
08:51:09;82;49,97;
08:51:12;83;49,97;
08:51:15;82;49,98;
08:51:18;83;49,97;
08:51:21;81;49,97;
08:51:24;80;49,97;
08:51:27;82;49,97;
08:51:33;84;49,97;
08:51:36;81;49,97;
08:51:39;80;49,97;
08:51:45;81;49,97;
08:51:48;82;49,97;
08:51:57;77;49,97;
08:52:00;81;49,97;
08:52:03;78;49,97;
08:52:06;82;49,97;
08:52:09;81;49,97;
08:52:12;82;49,97;
08:52:15;80;49,97;
08:52:18;82;49,97;
08:52:21;81;49,96;
08:52:24;82;49,96;
08:52:27;81;49,96;
08:52:30;82;49,96;
08:52:36;82;49,97;
08:52:42;83;49,96;
08:52:48;82;49,96;
08:52:51;84;49,96;
08:52:54;85;49,96;
08:52:57;85;49,97;
08:53:03;83;49,97;
08:53:06;85;49,98;
08:53:12;74;49,98;
08:53:15;55;49,99;
08:53:18;3;49,98;
08:53:21;0;49,98;
08:53:24;0;49,99;
08:53:30;53;49,99;
08:53:33;73;49,99;
08:53:36;82;49,99;
08:53:39;85;49,99;
08:53:42;89;49,99;
08:53:51;91;49,99;
08:53:54;88;49,99;
08:53:57;90;49,98;
08:54:00;92;49,98;
08:54:03;94;49,98;
