time;aussen
00:06:56;5.2
00:06:58;5.2
00:07:00;5.2
00:07:03;5.2
00:07:05;5.2
00:16:58;5.2
00:16:59;5.2
00:17:01;5.2
00:17:05;5.2
00:26:56;5.1
00:26:57;5.1
00:26:58;5.1
00:27:00;5.1
00:27:01;5.1
00:27:05;5.1
00:36:56;5.3
00:37:00;5.3
00:37:05;5.3
00:46:56;5.2
00:46:57;5.2
00:47:00;5.2
00:47:01;5.2
00:47:03;5.2
00:47:05;5.2
00:56:58;5.2
00:57:03;5.2
00:57:05;5.2
01:06:56;5.1
01:06:57;5.1
01:06:58;5.1
01:06:59;5.1
01:07:05;5.1
01:16:59;5.1
01:17:00;5.1
01:17:05;5.1
01:26:56;5.2
01:26:57;5.2
01:26:58;5.2
01:26:59;5.2
01:27:00;5.2
01:27:05;5.2
01:36:56;5.3
01:36:58;5.3
01:36:59;5.3
01:37:05;5.3
01:46:59;5.3
01:47:01;5.3
01:47:05;5.3
01:56:57;5.3
01:56:58;5.3
01:56:59;5.3
01:57:01;5.3
01:57:05;5.3
02:06:56;5.4
02:07:01;5.4
02:07:05;5.4
02:16:56;5.2
02:16:57;5.2
02:16:59;5.2
02:17:01;5.2
02:17:05;5.2
02:26:56;5.1
02:26:57;5.1
02:26:58;5.1
02:27:05;5.1
02:36:57;5.1
02:37:05;5.1
02:46:57;5.1
02:46:58;5.1
02:47:00;5.1
02:47:05;5.1
02:56:56;4.9
02:56:59;4.9
02:57:01;4.9
02:57:05;4.9
03:06:56;4.8
03:06:57;4.8
03:06:58;4.8
03:07:00;4.8
03:07:01;4.8
03:07:03;4.8
03:07:05;4.8
03:16:57;4.8
03:16:59;4.8
03:17:01;4.8
03:17:03;4.8
03:17:05;4.8
03:26:56;4.6
03:26:57;4.6
03:26:58;4.6
03:27:01;4.6
03:27:03;4.6
03:27:05;4.6
03:36:56;4.5
03:37:00;4.5
03:37:01;4.5
03:37:05;4.5
03:46:56;4.4
03:46:57;4.4
03:46:58;4.4
03:47:05;4.4
03:56:56;4.3
03:57:03;4.3
03:57:05;4.3
04:06:56;4.2
04:06:57;4.2
04:06:58;4.2
04:07:01;4.2
04:07:03;4.2
04:07:05;4.2
04:16:56;4.1
04:16:57;4.1
04:16:58;4.1
04:17:00;4.1
04:17:05;4.1
04:26:56;3.9
04:27:01;3.9
04:27:05;3.9
04:36:56;4.0
04:36:57;4.0
04:36:58;4.0
04:36:59;4.0
04:37:00;4.0
04:37:03;4.0
04:37:05;4.0
04:46:56;4.2
04:46:57;4.2
04:46:58;4.2
04:47:05;4.2
04:56:56;4.3
04:56:58;4.3
04:56:59;4.3
04:57:03;4.3
05:06:56;4.4
05:06:57;4.4
05:07:03;4.4
05:07:05;4.4
05:16:57;4.4
05:16:58;4.4
05:26:56;4.5
05:26:57;4.5
05:26:58;4.5
05:36:56;4.4
05:36:57;4.4
05:36:58;4.4
05:37:01;4.4
05:37:05;4.4
05:46:58;4.4
05:47:00;4.4
05:47:01;4.4
05:47:05;4.4
05:56:56;4.5
05:56:57;4.5
05:56:58;4.5
05:56:59;4.5
05:57:00;4.5
05:57:03;4.5
05:57:05;4.5
06:06:56;4.3
06:06:57;4.3
06:06:58;4.3
06:06:59;4.3
06:07:03;4.3
06:07:05;4.3
06:16:56;4.1
06:16:57;4.1
06:16:58;4.1
06:16:59;4.1
06:17:00;4.1
06:17:05;4.1
06:26:56;4.0
06:26:57;4.0
06:26:58;4.0
06:26:59;4.0
06:27:00;4.0
06:27:03;4.0
06:27:05;4.0
06:36:56;3.8
06:37:00;3.8
06:37:01;3.8
