time;pac;freq;
08:12:57;57;50,01;
08:13:00;124;49,96;
08:13:03;125;49,96;
08:13:09;124;49,97;
08:13:15;126;49,97;
08:13:18;125;49,97;
08:13:21;124;49,97;
08:13:24;125;49,97;
08:13:27;121;49,97;
08:13:30;127;49,97;
08:13:36;129;49,97;
08:13:39;125;49,98;
08:13:42;128;49,98;
08:13:45;127;49,98;
08:13:51;128;49,98;
08:13:57;127;49,98;
08:14:00;129;49,98;
08:14:06;127;49,98;
08:14:09;126;49,97;
08:14:15;125;49,97;
08:14:18;127;49,97;
08:14:24;128;49,97;
08:14:27;126;49,97;
08:14:30;129;49,98;
08:14:39;129;49,99;
08:14:45;130;49,99;
08:14:54;131;49,99;
08:15:00;129;49,99;
08:15:03;130;49,99;
08:15:06;126;49,99;
08:15:09;133;49,98;
08:15:12;126;49,98;
08:15:15;124;49,98;
08:15:18;121;49,99;
08:15:21;128;49,99;
08:15:24;130;49,99;
08:15:27;130;49,98;
08:15:30;129;49,97;
08:15:33;130;49,97;
08:15:36;130;49,96;
08:15:39;131;49,96;
08:15:42;132;49,96;
08:15:48;133;49,96;
08:15:51;130;49,96;
08:15:57;131;49,96;
08:16:00;132;49,96;
08:16:03;131;49,96;
08:16:09;132;49,96;
08:16:12;133;49,96;
08:16:15;134;49,96;
08:16:24;133;49,96;
08:16:27;135;49,95;
08:16:30;134;49,95;
08:16:33;133;49,96;
08:16:42;134;49,96;
08:16:45;135;49,96;
08:16:48;136;49,96;
08:16:54;137;49,96;
08:16:57;135;49,96;
08:17:03;136;49,96;
08:17:06;135;49,96;
08:17:09;136;49,96;
08:17:12;137;49,97;
08:17:15;138;49,97;
08:17:18;138;49,98;
08:17:21;139;49,98;
08:17:27;140;49,98;
08:17:39;142;49,98;
08:17:48;143;49,98;
08:17:57;144;49,98;
08:18:00;143;49,97;
08:18:03;144;49,98;
08:18:12;136;49,98;
08:18:15;141;49,98;
08:18:21;137;49,97;
08:18:24;146;49,97;
08:18:27;147;49,97;
08:18:30;142;49,97;
08:18:33;144;49,97;
08:18:36;149;49,97;
08:18:39;147;49,98;
08:18:42;148;49,98;
08:18:45;146;49,98;
08:18:48;147;49,98;
08:18:54;147;49,99;
08:18:57;150;49,99;
08:19:00;149;49,99;
08:19:06;151;49,99;
08:19:12;152;49,99;
08:19:15;151;49,99;
08:19:18;152;49,98;
08:19:21;153;49,98;
08:19:24;151;49,97;
08:19:27;153;49,96;
08:19:33;152;49,96;
08:19:42;153;49,96;
08:19:48;154;49,97;
08:19:51;155;49,97;
08:19:54;153;49,97;
08:20:00;155;49,97;
08:20:03;156;49,97;
08:20:06;155;49,98;
08:20:09;154;49,98;
08:20:12;158;49,98;
08:20:15;156;49,98;
08:20:18;155;49,98;
08:20:21;153;49,97;
08:20:24;154;49,97;
08:20:27;158;49,98;
08:20:30;157;49,98;
08:20:33;153;49,98;
08:20:36;158;49,98;
08:20:45;156;49,98;
08:20:48;155;49,98;
08:20:51;156;49,98;
08:20:54;158;49,98;
08:20:57;157;49,98;
08:21:00;158;49,98;
08:21:06;159;49,99;
08:21:09;161;49,99;
08:21:12;160;49,98;
08:21:15;152;49,98;
08:21:18;134;49,97;
08:21:21;137;49,97;
08:21:24;159;49,96;
08:21:27;160;49,95;
08:21:30;156;49,95;
08:21:33;140;49,96;
08:21:36;148;49,96;
08:21:39;155;49,96;
08:21:42;158;49,96;
08:21:45;155;49,96;
08:21:48;155;49,97;
08:21:51;156;49,97;
08:21:54;158;49,98;
08:21:57;156;49,98;
08:22:00;161;49,98;
08:22:03;158;49,98;
08:22:06;161;49,97;
08:22:12;158;49,97;
08:22:15;161;49,98;
08:22:18;157;49,98;
08:22:21;158;49,98;
08:22:24;161;49,98;
08:22:30;161;49,97;
08:22:33;161;49,98;
08:22:45;162;49,98;
08:22:48;164;49,98;
08:22:51;162;49,98;
08:22:54;164;49,98;
08:22:57;165;49,98;
08:23:00;161;49,98;
08:23:03;163;49,98;
08:23:06;164;49,98;
08:23:09;167;49,98;
08:23:12;162;49,99;
08:23:21;167;49,99;
08:23:24;163;50,00;
08:23:27;170;49,99;
08:23:33;163;49,99;
08:23:36;169;49,99;
08:23:39;170;49,98;
08:23:45;171;49,98;
08:23:48;170;49,97;
08:23:51;173;49,97;
08:23:54;175;49,97;
08:23:57;174;49,97;
08:24:03;174;49,98;
08:24:06;175;49,98;
08:24:12;176;49,98;
08:24:15;176;49,99;
08:24:18;178;49,99;
08:24:21;176;49,99;
08:24:24;175;49,99;
08:24:27;174;49,98;
08:24:30;178;49,98;
08:24:33;179;49,98;
08:24:39;176;49,97;
08:24:42;178;49,97;
08:24:45;181;49,98;
08:24:48;181;49,97;
08:24:51;180;49,96;
08:24:54;183;49,96;
08:24:57;179;49,97;
08:25:00;182;49,97;
08:25:03;185;49,97;
08:25:09;183;49,96;
08:25:12;186;49,97;
08:25:18;183;49,97;
08:25:21;183;49,98;
08:25:24;191;49,98;
08:25:27;185;49,98;
08:25:33;187;49,98;
08:25:36;194;49,98;
08:25:39;198;49,98;
08:25:42;194;49,98;
08:25:45;198;49,98;
08:25:48;200;49,98;
08:25:51;201;49,99;
08:25:54;200;49,99;
08:25:57;204;49,99;
08:26:00;206;50,00;
08:26:06;207;50,00;
08:26:09;212;50,00;
08:26:15;213;50,00;
08:26:18;210;50,01;
08:26:21;189;50,01;
08:26:24;195;50,00;
08:26:27;204;50,00;
08:26:30;211;50,00;
08:26:33;218;50,00;
08:26:36;216;50,00;
08:26:39;228;49,99;
08:26:42;226;49,99;
08:26:45;231;49,99;
08:26:48;229;49,98;
08:26:51;234;49,98;
08:26:54;237;49,98;
08:26:57;236;49,97;
08:27:00;235;49,97;
08:27:03;239;49,97;
08:27:06;244;49,97;
08:27:09;246;49,97;
08:27:12;245;49,98;
08:27:15;248;49,98;
08:27:21;251;49,97;
08:27:24;250;49,97;
08:27:27;253;49,96;
08:27:30;252;49,96;
08:27:33;255;49,96;
08:27:36;257;49,95;
08:27:39;260;49,96;
08:27:42;233;49,96;
08:27:45;253;49,96;
08:27:48;254;49,96;
08:27:51;272;49,96;
08:27:54;271;49,96;
08:27:57;276;49,97;
08:28:00;272;49,97;
08:28:03;277;49,97;
08:28:06;278;49,97;
08:28:09;281;49,97;
08:28:12;278;49,97;
08:28:15;279;49,97;
08:28:18;288;49,97;
08:28:21;283;49,97;
08:28:24;288;49,98;
08:28:27;269;49,98;
08:28:30;286;49,98;
08:28:33;292;49,97;
08:28:36;295;49,98;
08:28:39;292;49,98;
08:28:42;293;49,98;
08:28:45;299;49,98;
08:28:48;301;49,97;
08:28:51;307;49,96;
08:28:57;305;49,96;
08:29:00;310;49,97;
08:29:03;313;49,97;
08:29:06;314;49,97;
08:29:12;318;49,98;
08:29:15;320;49,98;
08:29:18;320;49,97;
08:29:21;323;49,97;
08:29:24;325;49,97;
08:29:30;330;49,97;
08:29:33;332;49,97;
08:29:36;333;49,96;
08:29:39;332;49,96;
08:29:42;337;49,96;
08:29:45;334;49,96;
08:29:48;340;49,97;
08:29:51;342;49,97;
08:29:54;342;49,98;
08:30:00;346;49,98;
08:30:03;347;49,98;
08:30:06;353;49,97;
08:30:09;355;49,97;
08:30:12;360;49,96;
08:30:18;362;49,97;
08:30:21;357;49,96;
08:30:24;367;49,96;
08:30:27;369;49,95;
08:30:30;372;49,95;
08:30:33;373;49,95;
08:30:36;372;49,95;
08:30:39;377;49,95;
08:30:42;378;49,95;
08:30:45;379;49,96;
08:30:48;383;49,96;
08:30:51;387;49,97;
08:30:54;390;49,96;
08:30:57;391;49,96;
08:31:00;390;49,96;
08:31:03;393;49,96;
08:31:06;395;49,95;
08:31:09;397;49,95;
08:31:12;400;49,95;
08:31:15;401;49,96;
08:31:18;403;49,96;
08:31:24;405;49,96;
08:31:27;407;49,96;
08:31:30;411;49,95;
08:31:33;405;49,94;
08:31:36;407;49,95;
08:31:39;405;49,95;
08:31:42;410;49,96;
08:31:45;414;49,96;
08:31:48;417;49,97;
08:31:51;420;49,97;
08:31:54;422;49,97;
08:31:57;423;49,97;
08:32:00;408;49,97;
08:32:03;414;49,96;
08:32:06;420;49,96;
08:32:09;428;49,96;
08:32:12;429;49,96;
08:32:15;430;49,96;
08:32:18;431;49,97;
08:32:21;434;49,96;
08:32:24;436;49,96;
08:32:30;443;49,96;
08:32:33;442;49,96;
08:32:36;443;49,97;
08:32:42;444;49,96;
08:32:45;449;49,96;
08:32:48;448;49,96;
08:32:51;450;49,96;
08:32:54;457;49,96;
08:32:57;459;49,96;
08:33:00;457;49,96;
08:33:03;463;49,96;
08:33:06;461;49,96;
08:33:09;464;49,96;
08:33:15;465;49,96;
08:33:18;464;49,96;
08:33:21;466;49,96;
08:33:24;467;49,97;
08:33:30;459;49,96;
08:33:33;465;49,96;
08:33:39;463;49,96;
08:33:42;457;49,96;
08:33:45;453;49,96;
08:33:48;451;49,96;
08:33:51;454;49,95;
08:33:57;453;49,95;
08:34:00;454;49,95;
08:34:03;456;49,95;
08:34:06;458;49,95;
08:34:15;456;49,96;
08:34:21;433;49,96;
08:34:24;441;49,96;
08:34:27;452;49,96;
08:34:30;453;49,96;
08:34:36;456;49,96;
08:34:39;452;49,96;
08:34:42;457;49,96;
08:34:45;455;49,97;
08:34:48;459;49,96;
08:34:51;463;49,96;
08:34:54;461;49,96;
08:34:57;453;49,96;
08:35:00;461;49,96;
08:35:03;460;49,96;
08:35:06;465;49,96;
08:35:09;462;49,96;
08:35:12;460;49,96;
08:35:15;461;49,96;
08:35:18;459;49,96;
08:35:21;455;49,95;
08:35:27;450;49,95;
08:35:30;452;49,94;
08:35:33;450;49,94;
08:35:36;453;49,94;
08:35:39;451;49,94;
08:35:45;450;49,94;
08:35:48;444;49,95;
08:35:51;438;49,96;
08:35:54;442;49,96;
08:35:57;441;49,96;
08:36:00;438;49,96;
08:36:03;437;49,96;
08:36:09;434;49,96;
08:36:12;430;49,96;
08:36:18;427;49,96;
08:36:21;422;49,96;
08:36:24;425;49,96;
08:36:27;421;49,96;
08:36:33;413;49,96;
08:36:36;415;49,96;
08:36:39;415;49,97;
08:36:42;410;49,98;
08:36:45;409;49,98;
08:36:48;410;49,98;
08:36:51;409;49,97;
08:36:54;407;49,97;
08:36:57;412;49,97;
08:37:03;410;49,98;
08:37:06;411;49,98;
08:37:09;406;49,98;
08:37:12;412;49,98;
08:37:18;411;49,98;
08:37:21;414;49,98;
08:37:24;415;49,98;
08:37:30;416;49,97;
08:37:36;417;49,97;
08:37:39;420;49,96;
08:37:42;421;49,96;
08:37:48;426;49,96;
08:37:51;428;49,96;
08:37:54;427;49,96;
08:37:57;430;49,96;
08:38:00;428;49,96;
08:38:03;437;49,96;
08:38:06;444;49,96;
08:38:09;444;49,97;
08:38:12;447;49,98;
08:38:15;450;49,98;
08:38:18;459;49,97;
08:38:24;456;49,97;
08:38:27;464;49,97;
08:38:30;468;49,97;
08:38:33;474;49,97;
08:38:39;472;49,97;
08:38:45;481;49,97;
08:38:48;480;49,98;
08:38:51;486;49,97;
08:38:54;489;49,98;
08:38:57;496;49,98;
08:39:00;494;49,98;
08:39:03;497;49,99;
08:39:06;500;49,99;
08:39:09;503;49,98;
08:39:12;506;49,98;
08:39:18;508;49,98;
08:39:21;510;49,97;
08:39:24;508;49,97;
08:39:30;509;49,98;
08:39:33;512;49,98;
08:39:36;513;49,97;
08:39:39;514;49,97;
08:39:42;515;49,98;
08:39:48;516;49,98;
08:39:54;517;49,99;
08:39:57;516;49,99;
08:40:00;509;49,98;
08:40:03;513;49,98;
08:40:06;519;49,98;
08:40:09;520;49,98;
08:40:12;518;49,98;
08:40:15;523;49,98;
08:40:18;521;49,99;
08:40:21;519;49,99;
08:40:24;521;49,98;
08:40:27;524;49,98;
08:40:30;516;49,98;
08:40:36;520;49,98;
08:40:39;517;49,98;
08:40:45;516;49,98;
08:40:48;523;49,98;
08:40:51;519;49,98;
08:40:54;523;49,98;
08:40:57;519;49,98;
08:41:00;523;49,99;
08:41:03;523;50,00;
08:41:06;524;49,99;
08:41:09;520;49,99;
08:41:12;523;49,98;
08:41:15;525;49,98;
08:41:18;523;49,98;
08:41:21;518;49,98;
08:41:24;517;49,97;
08:41:27;515;49,97;
08:41:30;519;49,97;
08:41:33;513;49,97;
08:41:36;519;49,97;
08:41:42;515;49,97;
08:41:45;518;49,97;
08:41:48;514;49,97;
08:41:51;512;49,98;
08:41:54;509;49,98;
08:41:57;513;49,99;
08:42:00;515;49,99;
08:42:06;516;50,00;
08:42:09;513;50,00;
08:42:12;513;49,99;
08:42:15;512;49,99;
08:42:18;510;49,99;
08:42:21;509;49,98;
08:42:27;511;49,98;
08:42:30;509;49,98;
08:42:33;508;49,98;
08:42:36;506;49,98;
08:42:39;509;49,98;
08:42:42;507;49,98;
08:42:45;505;49,99;
08:42:48;503;49,99;
08:42:51;501;50,00;
08:42:54;499;49,99;
08:42:57;498;49,99;
08:43:00;501;49,99;
08:43:03;497;49,99;
08:43:09;500;50,00;
08:43:12;490;50,00;
08:43:15;496;50,00;
08:43:18;498;50,00;
08:43:21;493;49,99;
08:43:24;492;49,99;
08:43:27;489;49,98;
08:43:33;491;49,99;
08:43:36;485;49,99;
08:43:39;483;49,99;
08:43:42;486;49,99;
08:43:45;486;49,98;
08:43:48;483;49,98;
08:43:51;488;49,98;
08:43:54;490;49,98;
08:43:57;493;49,98;
08:44:00;490;49,99;
08:44:03;494;49,99;
08:44:06;496;49,99;
08:44:09;497;50,00;
08:44:12;490;50,00;
08:44:15;493;50,00;
08:44:18;495;49,99;
08:44:21;496;49,98;
08:44:24;491;49,98;
08:44:27;497;49,98;
08:44:30;498;49,98;
08:44:33;497;49,98;
08:44:39;496;49,98;
08:44:42;499;49,98;
08:44:45;484;49,98;
08:44:48;483;49,98;
08:44:51;494;49,98;
08:44:54;497;49,98;
08:44:57;503;49,98;
08:45:03;506;49,99;
08:45:06;500;49,99;
08:45:09;505;50,00;
08:45:12;503;50,00;
08:45:15;508;50,00;
08:45:18;503;50,00;
08:45:21;510;50,00;
08:45:24;509;49,99;
08:45:27;497;49,99;
08:45:30;506;49,98;
08:45:33;512;49,98;
08:45:36;505;49,97;
08:45:39;509;49,97;
08:45:45;514;49,97;
08:45:48;515;49,97;
08:45:51;518;49,97;
08:45:54;510;49,97;
08:45:57;519;49,96;
08:46:00;523;49,96;
08:46:03;520;49,97;
08:46:06;523;49,96;
08:46:09;526;49,96;
08:46:12;524;49,95;
08:46:15;528;49,95;
