time;pac;freq;
06:25:52;0;49,98;
06:26:10;0;49,97;
06:26:22;0;49,98;
06:26:25;0;49,97;
06:26:34;0;49,98;
06:26:52;0;49,99;
06:26:58;0;50,00;
06:27:46;0;50,01;
06:27:55;0;50,00;
06:28:01;0;50,01;
06:28:16;0;50,00;
06:28:25;0;49,99;
06:28:43;0;50,00;
06:29:52;0;50,01;
06:30:07;0;50,00;
06:30:16;0;49,99;
06:30:19;0;50,00;
06:30:28;0;50,01;
06:30:37;0;50,00;
06:30:43;0;49,99;
06:30:52;28;49,99;
06:30:55;35;49,99;
06:30:58;41;49,99;
06:31:01;41;50,00;
06:31:04;45;50,00;
06:31:07;44;50,00;
06:31:10;44;49,99;
06:31:13;47;50,00;
06:31:16;46;49,99;
06:31:19;47;49,99;
06:31:22;45;49,98;
06:31:28;47;49,98;
06:31:34;47;49,97;
06:31:43;46;49,97;
06:31:46;47;49,97;
06:31:49;48;49,97;
06:31:52;48;49,98;
06:31:55;49;49,98;
06:31:58;48;49,98;
06:32:01;49;49,97;
06:32:04;50;49,98;
06:32:07;50;49,97;
06:32:10;50;49,98;
06:32:13;49;49,98;
06:32:19;50;49,98;
06:32:22;50;50,00;
06:32:28;51;50,00;
06:32:31;51;49,99;
06:32:40;52;49,98;
06:32:43;51;49,98;
06:32:46;52;49,98;
06:32:49;51;49,98;
06:32:55;56;49,98;
06:33:01;55;49,99;
06:33:04;52;49,98;
06:33:07;54;49,98;
06:33:16;56;49,98;
06:33:19;54;49,97;
06:33:22;50;49,97;
06:33:25;51;49,96;
06:33:28;57;49,96;
06:33:34;56;49,96;
06:33:46;57;49,98;
06:33:49;59;49,97;
06:33:55;60;49,97;
06:33:58;62;49,97;
06:34:01;60;49,97;
06:34:04;61;49,97;
06:34:07;59;49,98;
06:34:13;61;49,99;
06:34:16;62;50,00;
06:34:19;65;50,00;
06:34:22;65;49,99;
06:34:28;65;50,00;
06:34:31;64;49,99;
06:34:34;66;49,99;
06:34:37;66;49,98;
06:34:40;67;49,98;
06:34:43;71;49,99;
06:34:58;72;49,98;
06:35:01;71;49,98;
06:35:07;72;49,98;
06:35:13;73;49,98;
06:35:16;74;49,98;
06:35:22;74;49,97;
06:35:28;75;49,97;
06:35:31;77;49,97;
06:35:34;76;49,97;
06:35:37;79;49,97;
06:35:40;78;49,97;
06:35:43;80;49,98;
06:35:46;78;49,98;
06:35:49;80;49,99;
06:35:52;81;49,99;
06:35:58;81;50,00;
06:36:01;82;50,00;
06:36:04;83;50,00;
06:36:07;84;50,00;
06:36:10;83;50,00;
06:36:13;84;50,00;
06:36:19;85;50,00;
06:36:22;83;50,00;
06:36:25;84;50,00;
06:36:28;85;50,00;
06:36:31;84;49,98;
06:36:34;85;49,98;
06:36:37;84;49,98;
06:36:43;86;49,98;
06:36:46;84;49,98;
06:36:49;87;49,98;
06:36:52;88;49,98;
06:36:55;86;49,98;
06:36:58;87;49,97;
06:37:01;89;49,98;
06:37:04;88;49,98;
06:37:07;89;49,98;
06:37:10;86;49,98;
06:37:13;87;49,98;
06:37:16;88;49,98;
06:37:19;87;49,99;
06:37:22;85;49,99;
06:37:25;89;49,99;
06:37:28;88;49,99;
06:37:31;89;49,99;
06:37:40;90;49,99;
06:37:49;89;49,99;
06:37:55;90;49,99;
06:37:58;91;49,99;
06:38:01;92;49,99;
06:38:04;90;49,99;
06:38:10;89;49,99;
06:38:13;91;49,98;
06:38:19;93;49,99;
06:38:22;91;49,98;
06:38:25;92;49,98;
06:38:28;93;49,98;
06:38:37;95;49,98;
06:38:40;94;49,98;
06:38:46;93;49,98;
06:38:54;92;49,99;
06:38:56;94;49,98;
06:39:00;95;49,99;
06:39:03;95;49,98;
06:39:06;94;49,99;
06:39:09;96;49,98;
06:39:12;95;49,98;
06:39:15;98;49,98;
06:39:18;97;49,98;
06:39:21;96;49,97;
06:39:24;97;49,97;
06:39:27;98;49,98;
06:39:42;99;49,98;
06:39:51;98;49,98;
06:39:57;99;49,98;
06:40:00;100;49,98;
06:40:03;99;49,97;
06:40:07;100;49,97;
06:40:10;101;49,97;
06:40:13;105;49,97;
06:40:16;104;49,97;
06:40:19;100;49,97;
06:40:22;101;49,97;
06:40:25;103;49,98;
06:40:28;103;49,97;
06:40:31;104;49,98;
06:40:34;103;49,98;
06:40:40;104;49,98;
06:40:46;109;49,97;
06:40:49;98;49,98;
06:40:52;55;49,98;
06:40:55;17;49,98;
06:40:58;0;49,99;
06:41:07;9;50,00;
06:41:10;94;49,99;
06:41:13;95;49,99;
06:41:16;103;49,99;
06:41:19;106;49,99;
06:41:22;110;50,00;
06:41:28;112;50,00;
06:41:31;112;49,99;
06:41:34;114;49,98;
06:41:40;112;49,97;
06:41:43;111;49,98;
06:41:46;114;49,98;
06:41:52;112;50,00;
06:41:55;110;50,00;
06:41:58;113;50,01;
06:42:01;111;50,01;
06:42:04;103;50,00;
06:42:07;114;50,00;
06:42:10;112;50,00;
06:42:13;105;50,00;
06:42:16;110;49,99;
06:42:22;110;49,98;
06:42:25;111;49,98;
06:42:28;108;49,97;
06:42:34;110;49,98;
06:42:37;106;49,98;
06:42:39;108;49,98;
06:42:41;110;49,98;
06:42:44;109;49,98;
06:42:47;108;49,98;
06:42:53;108;49,99;
06:42:56;107;49,99;
06:42:58;105;50,00;
06:43:16;103;50,00;
06:43:19;106;50,00;
06:43:21;104;50,00;
06:43:23;107;50,00;
06:43:25;108;50,00;
06:43:30;106;49,99;
06:43:34;107;49,99;
06:43:37;106;49,99;
06:43:47;106;49,98;
06:43:48;104;49,98;
06:43:51;102;49,97;
06:43:53;100;49,97;
06:43:55;103;49,97;
06:43:57;102;49,97;
06:44:08;103;49,97;
06:44:11;102;49,97;
06:44:17;101;49,98;
06:44:19;102;49,98;
06:44:24;103;49,98;
06:44:26;102;49,98;
06:44:28;101;49,98;
06:44:38;102;49,98;
06:44:46;99;49,98;
06:44:48;104;49,98;
06:44:51;102;49,98;
06:44:56;102;49,97;
06:45:01;102;49,98;
06:45:05;99;49,98;
06:45:08;102;49,98;
06:45:10;99;49,97;
06:45:12;101;49,97;
06:45:14;98;49,98;
06:45:16;93;49,97;
06:45:18;99;49,98;
06:45:20;98;49,98;
06:45:28;98;49,97;
06:45:33;98;49,98;
06:45:40;95;49,97;
06:45:43;99;49,97;
06:45:45;98;49,96;
06:45:54;97;49,96;
06:45:58;98;49,96;
06:46:12;98;49,97;
06:46:13;94;49,96;
06:46:17;97;49,96;
06:46:20;96;49,96;
06:46:24;95;49,97;
06:46:31;94;49,97;
06:46:34;95;49,98;
06:46:36;94;49,98;
06:46:39;93;49,98;
06:46:41;95;49,98;
06:46:43;94;49,98;
06:46:46;94;49,99;
06:46:53;95;49,99;
06:46:57;94;49,99;
06:47:01;95;49,99;
06:47:07;96;49,98;
06:47:10;95;49,99;
06:47:12;97;49,99;
06:47:16;96;49,99;
06:47:18;95;49,99;
06:47:20;98;49,99;
06:47:23;95;49,98;
06:47:25;98;49,98;
06:47:31;96;49,98;
06:47:32;96;49,97;
06:47:38;98;49,97;
06:47:42;98;49,98;
06:47:58;99;49,98;
06:48:05;98;49,98;
06:48:09;98;49,97;
06:48:16;100;49,96;
06:48:19;100;49,97;
06:48:21;102;49,97;
06:48:27;101;49,97;
06:48:31;102;49,98;
06:48:34;103;49,98;
06:48:38;102;49,98;
06:48:41;103;49,98;
06:48:53;104;49,98;
06:48:57;105;49,97;
06:49:02;108;49,98;
06:49:05;105;49,99;
06:49:08;106;49,99;
06:49:13;108;49,99;
06:49:17;106;50,00;
06:49:22;107;50,00;
06:49:31;107;49,99;
06:49:38;108;50,00;
06:49:41;109;50,00;
06:49:43;108;50,00;
06:49:46;109;49,99;
06:49:51;106;49,99;
06:49:54;105;49,99;
06:49:58;107;49,99;
06:50:01;109;50,00;
06:50:06;108;50,00;
06:50:11;109;50,00;
06:50:14;107;50,00;
06:50:18;109;50,00;
06:50:21;107;49,99;
06:50:23;113;49,99;
06:50:26;107;49,99;
06:50:31;114;49,98;
06:50:34;113;49,98;
06:50:38;110;49,98;
06:50:41;112;49,98;
06:50:43;113;49,98;
06:50:46;114;49,98;
06:50:49;113;49,98;
06:50:56;103;49,97;
06:50:59;97;49,97;
06:51:03;100;49,97;
06:51:05;114;49,98;
06:51:08;116;49,97;
06:51:11;114;49,98;
06:51:12;113;49,97;
06:51:16;116;49,97;
06:51:26;119;49,96;
06:51:29;118;49,96;
06:51:33;117;49,96;
06:51:36;118;49,96;
06:51:40;119;49,96;
06:51:43;117;49,96;
06:51:47;120;49,96;
06:51:51;119;49,96;
06:51:52;118;49,96;
06:51:56;119;49,96;
06:51:59;122;49,97;
06:52:10;124;49,97;
06:52:13;126;49,97;
06:52:16;123;49,96;
06:52:26;123;49,95;
06:52:29;126;49,95;
06:52:36;124;49,96;
06:52:39;129;49,96;
06:52:43;128;49,96;
06:52:46;129;49,97;
06:52:48;126;49,97;
06:52:52;124;49,96;
06:52:55;127;49,96;
06:52:58;126;49,96;
06:53:02;127;49,97;
06:53:05;124;49,97;
06:53:08;129;49,97;
06:53:11;128;49,97;
06:53:12;133;49,97;
06:53:16;128;49,97;
06:53:20;133;49,96;
06:53:21;135;49,96;
06:53:28;135;49,95;
06:53:31;130;49,95;
06:53:37;132;49,96;
06:53:41;135;49,96;
06:53:42;134;49,96;
06:53:49;133;49,96;
06:53:52;134;49,97;
06:53:54;135;49,97;
06:54:01;136;49,97;
06:54:04;137;49,96;
06:54:07;136;49,96;
06:54:10;137;49,96;
06:54:13;138;49,97;
06:54:16;137;49,96;
06:54:22;140;49,97;
06:54:25;137;49,97;
06:54:28;138;49,97;
06:54:31;141;49,97;
06:54:32;138;49,97;
06:54:39;139;49,96;
06:54:46;140;49,96;
06:54:52;140;49,97;
06:54:58;138;49,97;
06:55:01;141;49,96;
06:55:09;138;49,96;
06:55:13;145;49,96;
06:55:16;141;49,96;
06:55:19;144;49,96;
06:55:23;142;49,96;
06:55:26;142;49,97;
06:55:29;145;49,98;
