time;pac;freq;
05:57:13;0;50,01;
05:57:16;0;50,00;
05:57:31;0;49,99;
05:57:37;0;49,98;
05:57:40;0;49,99;
05:57:46;0;50,00;
05:58:16;0;50,01;
05:58:28;0;50,00;
05:58:46;0;49,99;
05:58:52;0;50,00;
05:58:58;0;50,01;
05:59:07;0;50,00;
05:59:16;0;49,99;
05:59:40;0;50,00;
05:59:55;0;49,99;
06:00:07;0;50,00;
06:00:22;0;50,01;
06:00:25;0;50,02;
06:00:28;0;50,03;
06:00:34;0;50,04;
06:00:40;0;50,05;
06:00:58;0;50,06;
06:01:04;0;50,07;
06:01:16;0;50,08;
06:01:19;0;50,07;
06:01:40;0;50,06;
06:01:55;0;50,07;
06:02:04;0;50,06;
06:02:10;0;50,05;
06:02:31;0;50,04;
06:02:37;0;50,05;
06:03:10;0;50,04;
06:03:16;0;50,03;
06:03:22;0;50,02;
06:03:31;0;50,01;
06:03:52;0;50,02;
06:04:01;0;50,01;
06:04:10;0;50,02;
06:05:01;0;50,03;
06:05:16;0;50,02;
06:05:25;0;50,01;
06:05:28;0;50,02;
06:05:37;0;50,01;
06:05:43;0;50,00;
06:05:49;0;50,01;
06:06:04;0;50,00;
06:06:28;0;49,99;
06:06:31;0;50,00;
06:06:55;0;50,01;
06:07:34;0;50,00;
06:07:49;0;50,01;
06:08:10;0;50,00;
06:08:43;0;49,99;
06:09:13;0;49,98;
06:09:16;0;49,99;
06:09:28;0;50,00;
06:09:49;0;50,01;
06:10:22;0;50,00;
06:10:25;0;50,01;
06:10:28;0;50,00;
06:10:34;0;49,99;
06:10:46;0;50,00;
06:11:07;0;49,99;
06:11:31;0;50,00;
06:11:34;0;49,99;
06:11:46;0;49,98;
06:12:01;0;49,99;
06:12:04;0;50,00;
06:12:22;0;49,99;
06:12:28;0;49,98;
06:12:58;0;49,99;
06:13:04;0;50,00;
06:13:10;0;50,01;
06:13:13;0;50,00;
06:13:25;0;49,99;
06:13:40;0;50,00;
06:13:58;22;50,00;
06:14:01;35;50,00;
06:14:04;37;50,00;
06:14:07;38;50,00;
06:14:13;44;50,00;
06:14:16;43;50,00;
06:14:19;43;49,99;
06:14:22;42;49,99;
06:14:25;44;49,98;
06:14:28;43;49,98;
06:14:31;43;49,99;
06:14:37;44;49,99;
06:14:40;46;49,99;
06:14:43;45;49,99;
06:14:46;43;50,00;
06:14:55;45;50,00;
06:14:58;43;50,00;
06:15:01;45;50,00;
06:15:07;46;50,00;
06:15:13;44;50,00;
06:15:16;46;50,00;
06:15:19;44;50,00;
06:15:22;48;50,00;
06:15:25;44;50,00;
06:15:28;46;50,00;
06:15:31;45;50,00;
06:15:34;47;50,00;
06:15:37;48;50,00;
06:15:40;47;50,00;
06:15:46;45;50,01;
06:15:49;46;50,01;
06:15:52;47;50,01;
06:15:55;48;50,01;
06:16:01;47;50,00;
06:16:04;48;50,00;
06:16:07;49;50,00;
06:16:10;48;50,00;
06:16:13;49;50,00;
06:16:22;47;50,00;
06:16:25;48;50,00;
06:16:28;49;50,00;
06:16:37;48;50,00;
06:16:40;50;50,00;
06:16:49;48;50,00;
06:16:52;50;50,00;
06:16:58;50;49,99;
06:17:01;50;50,00;
06:17:07;52;50,00;
06:17:10;50;50,00;
06:17:16;52;50,00;
06:17:19;50;50,00;
06:17:22;52;50,00;
06:17:25;51;50,00;
06:17:28;52;49,99;
06:17:31;51;49,99;
06:17:34;50;49,98;
06:17:46;47;49,98;
06:17:52;50;49,98;
06:17:58;52;49,99;
06:18:01;53;49,99;
06:18:04;56;50,00;
06:18:07;55;49,99;
06:18:13;56;49,99;
06:18:16;57;49,98;
06:18:19;55;49,98;
06:18:25;54;49,98;
06:18:28;56;49,98;
06:18:31;58;49,98;
06:18:34;56;49,98;
06:18:43;54;49,98;
06:18:46;56;49,98;
06:18:49;58;49,98;
06:18:58;59;49,98;
06:19:04;59;49,97;
06:19:10;60;49,96;
06:19:16;59;49,96;
06:19:19;62;49,96;
06:19:22;60;49,96;
06:19:28;61;49,96;
06:19:31;63;49,96;
06:19:40;61;49,96;
06:19:43;63;49,97;
06:19:46;65;49,97;
06:19:49;61;49,97;
06:19:52;62;49,97;
06:19:55;65;49,97;
06:19:58;64;49,97;
06:20:04;65;49,97;
06:20:07;64;49,97;
06:20:10;66;49,97;
06:20:13;65;49,97;
06:20:25;67;49,97;
06:20:28;66;49,97;
06:20:31;68;49,98;
06:20:34;65;49,97;
06:20:40;69;49,97;
06:20:43;67;49,97;
06:20:46;69;49,97;
06:20:49;67;49,98;
06:20:52;69;49,98;
06:21:04;69;49,97;
06:21:10;71;49,98;
06:21:22;72;49,98;
06:21:25;71;49,98;
06:21:31;71;49,97;
06:21:34;73;49,96;
06:21:37;71;49,96;
06:21:40;70;49,96;
06:21:43;73;49,96;
06:21:49;72;49,96;
06:21:52;73;49,96;
06:21:58;74;49,97;
06:22:01;73;49,97;
06:22:04;74;49,97;
06:22:07;76;49,97;
06:22:10;73;49,96;
06:22:13;74;49,96;
06:22:19;74;49,97;
06:22:25;75;49,98;
06:22:28;76;49,98;
06:22:31;74;49,98;
06:22:34;78;49,98;
06:22:40;76;49,98;
06:22:43;78;49,98;
06:22:46;76;49,98;
06:22:49;78;49,98;
06:22:52;77;49,98;
06:22:55;74;49,99;
06:23:01;78;49,99;
06:23:04;75;49,99;
06:23:07;76;49,99;
06:23:10;78;49,98;
06:23:13;76;49,98;
06:23:16;78;49,98;
06:23:19;80;49,98;
