time;pac;freq;
08:52:54;0;49,98;
08:52:57;51;49,96;
08:53:03;51;49,97;
08:53:06;49;49,97;
08:53:09;51;49,98;
08:53:15;51;49,99;
08:53:18;52;49,99;
08:53:21;51;49,99;
08:53:24;52;50,00;
08:53:27;54;49,98;
08:53:30;53;49,98;
08:53:33;57;49,98;
08:53:36;53;49,98;
08:53:39;52;49,98;
08:53:42;56;49,98;
08:53:45;57;49,97;
08:53:48;55;49,97;
08:53:51;52;49,97;
08:53:54;56;49,96;
08:53:57;57;49,96;
08:54:09;56;49,96;
08:54:12;57;49,96;
08:54:15;56;49,96;
08:54:21;59;49,96;
08:54:24;58;49,96;
08:54:27;60;49,96;
08:54:30;59;49,96;
08:54:36;58;49,96;
08:54:39;59;49,96;
08:54:42;58;49,97;
08:54:48;58;49,96;
08:54:54;58;49,97;
08:54:57;59;49,97;
08:55:00;60;49,97;
08:55:03;59;49,97;
08:55:06;61;49,97;
08:55:12;59;49,96;
08:55:15;61;49,96;
08:55:18;59;49,96;
08:55:21;60;49,96;
08:55:24;61;49,96;
08:55:27;61;49,95;
08:55:30;60;49,96;
08:55:36;63;49,96;
08:55:39;66;49,96;
08:55:42;61;49,96;
08:55:48;63;49,96;
08:55:51;64;49,96;
08:56:00;63;49,96;
08:56:03;64;49,96;
08:56:06;63;49,96;
08:56:12;67;49,96;
08:56:15;66;49,96;
08:56:21;67;49,96;
08:56:33;66;49,96;
08:56:36;68;49,96;
08:56:39;71;49,96;
08:56:42;69;49,96;
08:56:45;67;49,96;
08:56:48;69;49,97;
08:56:54;71;49,97;
08:56:57;72;49,97;
08:57:00;73;49,97;
08:57:06;71;49,97;
08:57:09;73;49,98;
08:57:12;71;49,98;
08:57:18;72;49,98;
08:57:21;73;49,98;
08:57:24;74;49,97;
08:57:27;73;49,97;
08:57:30;71;49,96;
08:57:33;74;49,96;
08:57:36;73;49,96;
08:57:39;75;49,96;
08:57:42;74;49,96;
08:57:45;73;49,96;
08:57:48;74;49,97;
08:57:51;74;49,98;
08:57:57;76;49,98;
08:58:00;75;49,98;
08:58:03;74;49,98;
08:58:06;74;49,97;
08:58:12;78;49,96;
08:58:15;76;49,96;
08:58:18;74;49,96;
08:58:21;76;49,96;
08:58:24;75;49,97;
08:58:27;74;49,97;
08:58:30;76;49,98;
08:58:33;77;49,98;
08:58:36;79;49,97;
08:58:39;78;49,97;
08:58:42;79;49,96;
08:58:45;78;49,96;
08:58:48;80;49,96;
08:58:54;78;49,96;
08:58:57;79;49,96;
08:59:03;80;49,97;
08:59:06;79;49,97;
08:59:09;82;49,96;
08:59:15;81;49,96;
08:59:18;83;49,96;
08:59:30;85;49,96;
08:59:33;83;49,96;
08:59:39;83;49,97;
08:59:42;85;49,97;
08:59:45;83;49,97;
08:59:54;83;49,98;
08:59:57;84;49,98;
09:00:03;83;49,98;
09:00:06;85;49,98;
09:00:09;89;49,97;
09:00:12;87;49,97;
09:00:15;87;49,96;
09:00:18;88;49,96;
09:00:24;87;49,96;
09:00:27;85;49,96;
09:00:30;86;49,96;
09:00:33;88;49,96;
09:00:36;90;49,96;
09:00:39;87;49,96;
09:00:42;86;49,96;
09:00:45;89;49,96;
09:00:48;87;49,97;
09:00:54;87;49,98;
09:00:57;90;49,97;
09:01:03;91;49,97;
09:01:09;90;49,98;
09:01:15;91;49,98;
09:01:18;90;49,98;
09:01:21;87;49,98;
09:01:24;92;49,98;
09:01:27;91;49,98;
09:01:33;93;49,98;
09:01:36;93;49,97;
09:01:39;93;49,98;
09:01:42;91;49,97;
09:01:45;93;49,98;
09:01:48;94;49,98;
09:01:51;93;49,98;
09:01:57;92;49,98;
09:02:03;92;49,99;
09:02:06;93;49,99;
09:02:09;94;49,99;
09:02:15;94;49,98;
09:02:18;93;49,98;
09:02:24;92;49,98;
09:02:27;58;49,98;
09:02:30;42;49,98;
09:02:33;22;49,97;
09:02:36;0;49,98;
09:02:45;69;49,98;
09:02:48;77;49,98;
09:02:51;81;49,98;
09:02:54;83;49,98;
09:02:57;89;49,99;
09:03:00;96;50,00;
09:03:03;98;50,00;
09:03:06;97;50,00;
09:03:09;99;50,00;
09:03:12;98;50,00;
09:03:15;98;49,99;
09:03:21;98;50,00;
09:03:24;98;49,99;
09:03:36;101;49,98;
09:03:39;102;49,98;
09:03:42;100;49,99;
09:03:45;100;49,98;
09:03:48;99;49,98;
09:03:51;102;49,98;
